schema,table,column,inferred_dtype
transportation,international_aviation_emissions_sources_ownership,company_id,string
agriculture,other_agricultural_soil_emissions_country_emissions,sector,string
power,electricity_generation_emissions_sources,activity_units,string
power,electricity_generation_emissions_sources_ownership,sector,string
transportation,road_transportation_country_emissions,gas,string
agriculture,cropland_fires_emissions_sources,other7_def,empty
manufacturing,steel_emissions_sources,modified_date,string
agriculture,enteric_fermentation_cattle_feedlot_emissions_sources_confidenc,source_name,string
mineral_extraction,bauxite_mining_country_emissions,created_date,string
forestry_and_land_use,water_reservoirs_emissions_sources,other10,empty
fossil_fuel_operations,oil_and_gas_refining_emissions_sources,source_id,string
transportation,international_aviation_emissions_sources_ownership,iso3_country,string
forestry_and_land_use,forest_land_degradation_emissions_sources_confidence,n2o_emissions,empty
agriculture,manure_management_cattle_feedlot_emissions_sources,lon,string
waste,solid_waste_disposal_emissions_sources,other9_def,string
transportation,domestic_shipping_emissions_sources,sector,string
transportation,domestic_aviation_emissions_sources,other5,empty
forestry_and_land_use,water_reservoirs_emissions_sources,emissions_quantity,string
agriculture,synthetic_fertilizer_application_emissions_sources_confidence,co2_emissions_factor,empty
forestry_and_land_use,removals_emissions_sources,other4,empty
transportation,international_aviation_emissions_sources_confidence,source_type,string
agriculture,manure_management_cattle_feedlot_emissions_sources,other6_def,string
manufacturing,petrochemicals_emissions_sources_confidence,n2o_emissions_factor,empty
agriculture,synthetic_fertilizer_application_emissions_sources,activity_units,string
manufacturing,petrochemicals_emissions_sources,other10_def,empty
forestry_and_land_use,net_wetland_country_emissions,temporal_granularity,string
mineral_extraction,copper_mining_country_emissions,created_date,string
manufacturing,petrochemicals_emissions_sources,subsector,string
fossil_fuel_operations,oil_and_gas_refining_emissions_sources_confidence,ch4_emissions_factor,string
forestry_and_land_use,net_forest_land_emissions_sources,other4_def,empty
forestry_and_land_use,shrubgrass_fires_emissions_sources_confidence,source_name,string
manufacturing,petrochemicals_emissions_sources_confidence,iso3_country,string
agriculture,manure_left_on_pasture_cattle_emissions_sources,subsector,string
agriculture,rice_cultivation_emissions_sources,activity_units,string
agriculture,manure_left_on_pasture_cattle_emissions_sources,other10_def,string
mineral_extraction,iron_mining_country_emissions,gas,string
transportation,domestic_aviation_emissions_sources,end_time,string
transportation,domestic_aviation_emissions_sources_ownership,created_date,string
manufacturing,cement_emissions_sources_confidence,source_type,string
waste,solid_waste_disposal_emissions_sources,emissions_factor_units,string
mineral_extraction,bauxite_mining_emissions_sources,capacity,empty
manufacturing,other_manufacturing_emissions_sources,other1_def,string
agriculture,manure_management_other_country_emissions,gas,string
transportation,international_shipping_emissions_sources_confidence,ch4_emissions_factor,empty
forestry_and_land_use,net_wetland_emissions_sources,subsector,string
agriculture,manure_management_cattle_feedlot_emissions_sources_confidence,start_time,string
transportation,international_aviation_emissions_sources_ownership,sector,string
forestry_and_land_use,net_wetland_emissions_sources,other10_def,empty
mineral_extraction,copper_mining_emissions_sources,sector,string
forestry_and_land_use,net_forest_land_emissions_sources,end_time,string
forestry_and_land_use,net_shrubgrass_emissions_sources,source_name,string
waste,solid_waste_disposal_emissions_sources_confidence,end_time,string
forestry_and_land_use,water_reservoirs_emissions_sources_confidence,end_time,string
manufacturing,cement_emissions_sources,other8_def,empty
power,electricity_generation_emissions_sources_ownership,company_id,string
transportation,domestic_aviation_emissions_sources,other4_def,empty
transportation,railways_country_emissions,end_time,string
forestry_and_land_use,net_shrubgrass_emissions_sources,other7,empty
power,electricity_generation_emissions_sources_ownership,iso3_country,string
forestry_and_land_use,wetland_fires_emissions_sources,modified_date,string
mineral_extraction,iron_mining_emissions_sources_confidence,start_time,string
fossil_fuel_operations,oil_and_gas_production_and_transport_emissions_sources,other6,empty
fossil_fuel_operations,oil_and_gas_refining_emissions_sources,lat,string
agriculture,synthetic_fertilizer_application_emissions_sources_confidence,modified_date,string
fossil_fuel_operations,coal_mining_emissions_sources_ownership,percent_parent_datasource,string
mineral_extraction,iron_mining_emissions_sources,other6,empty
forestry_and_land_use,net_forest_land_emissions_sources,other5,empty
agriculture,enteric_fermentation_cattle_pasture_country_emissions,emissions_quantity,string
forestry_and_land_use,net_wetland_country_emissions,iso3_country,string
forestry_and_land_use,forest_land_clearing_country_emissions,emissions_quantity,string
manufacturing,cement_emissions_sources,other9,empty
forestry_and_land_use,wetland_fires_emissions_sources_confidence,end_time,string
agriculture,enteric_fermentation_cattle_feedlot_emissions_sources,modified_date,string
manufacturing,petrochemicals_emissions_sources_confidence,sector,string
agriculture,rice_cultivation_emissions_sources_confidence,n2o_emissions,empty
fossil_fuel_operations,coal_mining_emissions_sources_confidence,source_type,string
transportation,international_shipping_emissions_sources,modified_date,string
manufacturing,aluminum_emissions_sources_confidence,source_type,string
forestry_and_land_use,forest_land_fires_emissions_sources,created_date,string
agriculture,manure_left_on_pasture_cattle_emissions_sources_confidence,ch4_emissions_factor,string
agriculture,cropland_fires_emissions_sources,other5,empty
waste,solid_waste_disposal_country_emissions,created_date,string
mineral_extraction,bauxite_mining_emissions_sources,emissions_factor_units,string
waste,solid_waste_disposal_emissions_sources,capacity,string
transportation,domestic_shipping_emissions_sources,capacity_units,string
agriculture,enteric_fermentation_cattle_feedlot_country_emissions,emissions_quantity_units,string
manufacturing,other_manufacturing_country_emissions,start_time,string
agriculture,rice_cultivation_emissions_sources_confidence,total_co2e_100yrgwp,string
transportation,domestic_aviation_emissions_sources_ownership,end_date,string
forestry_and_land_use,net_forest_land_emissions_sources,modified_date,empty
fossil_fuel_operations,oil_and_gas_production_and_transport_country_emissions,temporal_granularity,string
forestry_and_land_use,wetland_fires_emissions_sources,other5,empty
agriculture,enteric_fermentation_cattle_pasture_emissions_sources_confidenc,source_type,empty
agriculture,cropland_fires_emissions_sources,modified_date,string
agriculture,manure_management_cattle_feedlot_emissions_sources,other2,string
manufacturing,cement_emissions_sources_ownership,percent_parent_datasource,string
manufacturing,steel_emissions_sources_confidence,start_time,string
transportation,international_shipping_emissions_sources,activity_units,string
manufacturing,petrochemicals_country_emissions,emissions_quantity,string
forestry_and_land_use,wetland_fires_emissions_sources,end_time,string
mineral_extraction,copper_mining_emissions_sources,gas,string
forestry_and_land_use,forest_land_fires_emissions_sources,activity_units,string
forestry_and_land_use,net_shrubgrass_emissions_sources,emissions_quantity,string
transportation,international_aviation_emissions_sources,other6,empty
fossil_fuel_operations,coal_mining_emissions_sources,source_type,string
manufacturing,aluminum_emissions_sources,source_id,string
mineral_extraction,bauxite_mining_emissions_sources,other9_def,empty
manufacturing,cement_emissions_sources,other3_def,string
transportation,domestic_shipping_country_emissions,start_time,string
forestry_and_land_use,removals_emissions_sources,other8,empty
mineral_extraction,copper_mining_emissions_sources,other5_def,empty
transportation,domestic_aviation_emissions_sources_confidence,activity,string
forestry_and_land_use,net_forest_land_country_emissions,temporal_granularity,string
transportation,domestic_aviation_country_emissions,iso3_country,string
agriculture,manure_management_cattle_feedlot_country_emissions,sector,string
